FullName,Pace_Total,Shooting_Total,Passing_Total,Dribbling_Total,Defending_Total,Physicality_Total,Crossing,Finishing,Heading_Accuracy,Short_Passing,Volleys,Dribbling,Curve,Freekick_Accuracy,LongPassing,BallControl,Acceleration,Sprint_Speed,Agility,Reactions,Balance,Shot_Power,Jumping,Stamina,Strength,Long_Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing_Tackle,Sliding_Tackle,Goalkeeper_Diving,Goalkeeper_Handling, GoalkeeperKicking,Goalkeeper_Positioning,Goalkeeper_Reflexes,ST_Rating,LW_Rating,LF_Rating,CF_Rating,RF_Rating,RW_Rating,CAM_Rating,LM_Rating,CM_Rating,RM_Rating,LWB_Rating,CDM_Rating,RWB_Rating,LB_Rating,CB_Rating,RB_Rating,GK_Rating
Jack Hendry,71,56,54,62,71,82,48,50,74,66,26,57,38,28,63,67,66,75,62,70,60,77,84,76,84,61,82,71,58,45,37,69,73,70,68,13,11,13,8,13,66,60,62,62,62,60,62,63,65,63,69,71,69,70,75,70,20
Mert Hakan Yandaş,68,70,74,73,64,72,74,65,47,75,66,73,76,64,75,74,69,67,75,73,75,77,50,85,66,76,77,63,73,72,66,69,67,67,61,11,5,9,6,13,71,72,72,72,72,72,73,73,73,73,73,73,73,71,67,71,18
Antonio José Raíllo Arenas,49,36,53,54,74,78,29,25,78,73,37,52,42,36,60,61,47,50,32,65,49,54,81,89,69,39,85,73,51,46,43,66,73,74,70,10,15,15,15,14,55,49,53,53,53,49,56,56,63,56,66,72,66,68,73,68,21
Min Kyu Joo,66,75,54,69,49,79,33,79,74,64,71,64,54,48,52,74,67,66,70,67,75,75,78,80,86,66,60,54,75,58,74,71,33,58,39,14,10,11,12,16,73,66,69,69,69,66,69,66,66,66,59,61,59,58,61,58,21
Jan Thielmann,81,69,66,72,45,66,65,69,60,69,62,71,67,44,65,74,84,79,75,73,75,73,69,78,58,69,69,51,67,68,65,62,44,39,41,15,7,13,11,14,72,72,71,71,71,72,73,74,70,74,64,62,64,62,56,62,21
Ondrej Duda,69,71,71,78,53,63,65,70,52,73,71,79,77,74,67,78,72,67,76,70,75,78,70,78,57,67,57,29,72,73,68,78,63,62,44,15,12,14,16,10,72,73,73,73,73,73,74,74,72,74,64,64,64,62,58,62,22
Hernani Azevedo Júnior,65,69,69,72,74,70,53,63,66,75,59,73,63,78,76,76,66,64,64,73,53,78,63,68,69,77,79,77,69,67,72,69,73,76,70,9,13,13,11,7,72,69,71,71,71,69,73,71,73,71,72,73,72,72,73,72,19
Armel Bella Kotchap,82,25,50,51,74,76,31,20,72,66,24,39,22,22,64,60,77,86,60,59,63,40,77,65,86,20,65,77,29,46,33,57,69,77,72,12,14,5,8,13,50,48,48,48,48,48,52,54,58,54,66,70,66,70,75,70,19
Andrea Barberis,74,49,70,68,68,66,67,38,48,75,56,64,57,68,72,72,74,74,73,73,71,59,64,83,53,57,78,73,72,66,51,65,67,73,68,6,14,10,6,14,62,67,65,65,65,67,70,71,73,71,74,74,74,73,69,73,19
Yanick Brecher,72,73,69,75,40,73,19,13,13,37,18,16,18,17,27,24,38,42,37,68,44,52,70,24,67,18,26,21,18,51,24,56,27,20,20,72,73,69,73,75,32,29,31,31,31,29,34,32,34,32,31,33,31,30,33,30,74
Ismaël Traoré,35,45,58,49,72,84,43,40,74,67,19,35,48,58,65,59,36,34,60,68,57,60,74,77,90,51,79,71,35,52,49,70,72,74,69,6,10,16,6,15,54,47,49,49,49,47,54,52,62,52,64,72,64,66,73,66,18
Joaquín Larrivey,50,75,58,61,42,74,43,78,83,60,77,56,66,50,53,72,47,53,45,74,52,75,86,34,90,66,81,20,79,72,79,74,39,44,43,12,11,11,13,12,73,63,68,68,68,63,68,63,63,63,49,54,49,50,58,50,21
Jonathan Menéndez,87,68,67,74,42,51,65,65,46,70,67,73,69,47,67,72,86,87,84,69,81,75,68,71,34,69,65,36,73,69,52,77,36,53,37,5,9,10,6,14,70,72,72,72,72,72,73,73,69,73,62,59,62,59,51,59,17
Jhon Lucumí,70,28,59,63,72,78,61,23,71,72,23,58,39,31,71,68,67,72,63,70,60,38,71,71,84,28,73,74,33,36,36,71,70,74,73,6,11,10,8,7,53,55,52,52,52,55,57,61,63,61,72,73,72,73,75,73,17
Juan Soriano Oropesa,76,67,66,77,37,72,13,14,20,23,13,20,32,24,24,23,37,37,43,68,43,50,66,35,58,16,25,16,12,38,28,47,16,10,14,76,67,66,72,77,30,26,28,28,28,26,30,29,29,29,27,27,27,26,27,26,74
Stijn Spierings,49,60,67,71,69,72,45,55,42,76,50,71,70,68,75,73,59,41,68,71,66,71,62,71,74,62,70,72,54,66,74,70,72,72,67,15,15,6,14,14,63,63,64,64,64,63,69,66,72,66,68,74,68,67,70,67,22
Ramiro Carrera,79,69,71,71,63,73,64,70,52,76,60,73,70,56,72,75,77,80,65,67,60,68,91,77,76,72,54,67,73,74,62,63,62,65,60,14,16,15,8,12,72,72,73,73,73,72,73,73,73,73,71,71,71,70,68,70,21
Lukas Görtler,67,63,75,69,56,79,74,63,64,74,62,66,67,48,79,72,65,68,70,72,68,65,78,91,75,62,74,60,70,81,61,67,52,55,51,11,15,14,13,14,69,70,69,69,69,70,73,73,73,73,69,70,69,67,64,67,22
Leonardo Cesar Jardim,74,70,68,75,41,70,12,16,14,27,12,18,18,17,24,18,40,43,35,69,54,51,54,42,56,18,30,24,17,57,19,28,11,16,14,74,70,68,70,75,31,27,30,30,30,27,33,31,33,31,29,30,29,28,28,28,74
Juan Carlos Pérez López,74,62,69,73,67,70,76,55,56,70,75,72,74,50,69,75,73,74,73,75,69,69,70,78,66,68,71,69,64,64,55,70,63,72,70,10,9,11,8,6,68,70,69,69,69,70,71,73,72,73,73,72,73,73,70,73,18
Ron-Robert Zieler,70,69,70,74,48,73,15,10,13,25,12,12,11,10,22,22,46,50,43,75,41,53,69,32,55,14,32,21,15,42,24,58,20,12,13,70,69,70,73,74,30,27,29,29,29,27,30,30,30,30,29,29,29,29,29,29,73
Kevin Velasco,82,64,66,76,59,57,68,66,51,67,52,76,64,60,62,76,82,82,80,72,81,60,60,73,48,63,58,56,73,65,62,68,59,61,62,12,8,10,6,7,69,73,71,71,71,73,73,74,70,74,70,66,70,68,62,68,17
Mostafa Fathi,81,69,66,78,36,57,67,71,53,67,67,80,72,52,62,76,84,78,85,62,85,65,44,71,60,70,34,24,69,67,65,65,33,39,43,8,13,14,8,7,71,73,72,72,72,73,73,73,67,73,59,54,59,56,47,56,17
Giorgi Kvilitaia,64,73,59,70,37,74,49,76,75,69,73,73,64,42,57,74,63,65,62,74,46,71,69,71,80,66,65,31,74,58,75,63,35,31,33,10,5,13,12,9,73,68,71,71,71,68,71,69,66,69,55,56,55,53,53,53,18
Nuno Caio Lisareda Abravanel,78,74,60,73,29,60,51,75,68,67,75,74,62,45,47,72,80,77,78,72,66,77,69,68,62,68,41,29,76,72,75,77,27,23,18,7,6,9,7,11,73,72,73,73,73,72,73,72,65,72,53,50,53,50,45,50,17
Simon Zoller,71,74,65,73,39,65,68,77,67,68,72,72,69,55,53,76,75,67,75,72,72,73,64,76,63,69,57,24,76,67,66,71,45,39,25,9,16,10,10,13,73,72,73,73,73,72,73,73,67,73,58,55,58,55,51,55,20
Miguel Ángel Torrén,69,49,64,59,73,76,48,44,70,73,39,53,60,60,74,60,68,69,66,72,69,54,80,71,78,51,74,74,52,60,65,68,75,71,70,13,15,9,16,11,61,58,59,59,59,58,63,63,67,63,69,73,69,71,73,71,22
Rodrigo Rey,73,71,69,74,50,73,18,18,12,29,15,20,17,17,13,23,55,43,43,68,53,52,67,31,59,13,33,22,14,53,23,62,18,18,13,73,71,69,73,74,32,30,31,31,31,30,33,32,31,32,30,30,30,29,30,29,73
Nathaniel Phillips,52,30,49,51,74,75,30,23,78,66,30,48,29,35,58,51,50,53,44,69,53,49,78,57,82,21,80,70,28,39,45,63,75,75,70,9,6,6,12,10,50,44,46,46,46,44,49,50,56,50,62,68,62,65,75,65,18
Jean-Victor Makengo,66,66,72,73,73,70,69,61,70,78,69,74,66,59,74,75,70,63,65,69,70,75,62,73,69,69,69,69,67,68,59,70,70,78,74,8,9,9,8,9,71,70,70,70,70,70,73,73,75,73,74,75,74,74,74,74,17
Pantelis Hatzidiakos,74,52,65,68,72,74,56,45,73,76,40,64,37,37,70,72,72,75,69,74,67,75,83,75,73,57,73,72,36,65,40,72,72,73,70,9,14,11,11,9,64,63,63,63,63,63,67,67,70,67,73,75,73,73,75,73,20
Tom Cleverley,56,68,73,73,61,65,72,64,48,75,68,72,59,62,74,75,61,52,69,75,75,74,59,68,61,72,71,66,69,77,72,67,56,69,52,15,11,9,12,13,69,70,70,70,70,70,73,72,73,72,68,71,68,66,65,66,21
Pedro De la Vega,82,70,69,75,50,71,73,67,71,72,66,75,59,64,64,73,81,82,83,66,76,77,85,75,66,72,75,50,69,67,66,73,46,47,49,8,9,15,8,9,73,73,72,72,72,73,73,74,70,74,66,63,66,64,61,64,17
Matías de los Santos,55,55,59,62,71,82,45,48,74,72,40,60,70,71,58,64,53,57,53,65,62,72,83,66,89,59,86,68,44,45,67,73,70,73,70,13,7,9,13,7,62,56,58,58,58,56,60,59,63,59,66,71,66,67,74,67,18
Matt Ritchie,60,72,75,75,66,65,78,68,39,75,75,76,78,69,72,76,65,55,67,73,77,76,70,61,60,77,82,69,73,73,72,73,68,71,67,15,8,11,14,13,70,72,72,72,72,72,73,73,73,73,72,73,72,70,69,70,21
Luis David Couprins Acuna,71,65,66,62,74,69,43,57,71,77,63,58,63,54,75,60,72,71,79,64,74,80,66,75,62,73,79,77,54,65,62,61,79,71,63,11,13,16,8,10,66,62,64,64,64,62,67,65,70,65,69,73,69,70,73,70,19
Douglas Augusto Soares Gomes,73,69,69,73,69,77,57,64,58,75,60,73,67,55,73,76,74,73,71,69,78,78,61,78,76,75,84,69,73,72,64,64,69,72,72,8,10,13,11,14,72,71,72,72,72,71,75,73,75,73,73,75,73,72,73,72,19
Aiham Ousou,70,31,55,67,72,73,28,23,72,70,19,66,30,19,66,68,68,72,63,72,67,47,76,66,78,34,70,74,43,62,35,68,69,75,72,8,9,5,11,8,56,56,57,57,57,56,62,61,66,61,67,72,67,69,75,69,18
Kevin Bonifazi,52,35,51,56,75,66,34,30,68,66,36,49,41,34,52,62,52,52,48,69,64,49,73,46,73,30,73,74,35,48,44,69,74,80,75,8,8,7,14,6,52,49,50,50,50,49,54,53,58,53,64,69,64,66,75,66,17
Enrique Gallego Puigsech,54,76,56,67,25,71,43,79,79,65,62,68,50,50,45,73,60,49,48,70,53,77,70,53,85,70,60,20,77,65,73,74,22,17,18,10,14,10,12,10,73,66,70,70,70,66,69,66,62,66,46,48,46,44,46,44,20
Cristian Tarragona,82,72,54,70,43,79,39,75,70,62,55,68,57,51,49,68,81,82,80,75,84,75,81,83,75,66,85,37,77,57,72,68,43,39,35,9,15,10,7,9,73,68,71,71,71,68,70,69,64,69,58,58,58,57,57,57,19
Ben Davies,66,39,59,63,74,73,61,36,72,71,43,60,44,40,68,66,63,69,65,70,62,42,80,65,79,39,65,72,37,37,48,71,78,74,72,6,15,10,15,6,57,57,54,54,54,57,58,61,62,61,71,72,71,72,75,72,19
Kamil Grabara,75,72,69,74,42,74,15,14,21,41,12,18,18,20,40,28,42,42,44,63,45,52,50,36,68,15,33,22,14,52,20,52,24,18,17,75,72,69,74,74,33,29,31,31,31,29,36,34,37,34,31,36,31,31,33,31,74
Frederico Peter Cabral Bardini,73,77,69,66,46,76,19,11,17,14,15,21,20,12,16,21,42,53,40,70,39,52,41,31,56,14,22,15,12,67,13,62,17,14,10,73,77,69,76,66,30,28,30,30,30,28,32,31,30,31,27,26,27,27,26,27,73
Oliver Norwood,48,66,77,67,68,64,76,59,56,76,69,62,81,75,80,74,49,47,67,73,67,76,64,78,56,72,68,73,60,75,72,73,67,68,69,16,16,7,7,12,66,66,66,66,66,66,71,70,73,70,72,73,72,71,69,71,21
Cédric Hountondji,45,33,53,56,74,70,47,28,72,68,30,49,39,35,58,68,38,50,51,74,32,48,65,48,81,29,70,76,29,37,45,71,75,75,70,6,11,10,15,15,52,49,49,49,49,49,53,53,59,53,65,70,65,67,74,67,21
Dago Filipe Esteiro Cortejo,64,76,52,67,25,59,38,76,73,69,69,68,42,37,42,67,64,64,60,78,60,77,62,53,70,82,36,18,76,50,62,60,19,23,19,10,12,13,6,14,73,66,70,70,70,66,69,65,61,65,47,46,47,45,43,45,20
Davit Khocholava,55,50,54,61,73,80,38,44,73,70,32,57,44,30,68,64,54,55,58,68,63,75,73,71,86,45,78,72,48,42,45,70,72,74,72,10,9,7,9,5,61,54,57,57,57,54,59,59,64,59,66,72,66,68,74,68,17
Jamie Leweling,82,71,61,77,33,69,64,74,58,69,65,80,55,43,49,76,85,79,79,71,77,73,55,71,75,67,57,26,73,59,55,62,33,31,23,6,11,10,14,9,75,74,73,73,73,74,73,74,65,74,57,53,57,54,48,54,19
Bart Schenkeveld,73,40,61,66,73,77,54,34,65,69,24,62,53,33,67,71,72,74,64,68,64,55,66,75,80,35,76,72,59,58,53,70,72,76,72,8,11,15,16,9,60,61,60,60,60,61,64,66,67,66,71,73,71,72,73,72,19
Jonatan Gómez,72,68,72,76,51,64,69,68,46,75,64,77,70,58,72,73,74,71,82,70,82,63,48,69,59,69,73,50,73,73,74,68,55,52,47,12,14,10,10,7,69,73,72,72,72,73,73,73,73,73,66,66,66,63,58,63,19
Tanguy Nianzou,62,37,56,64,73,76,37,32,78,70,37,64,41,31,67,67,55,67,55,67,58,57,77,69,79,25,75,71,36,53,42,65,73,75,69,6,14,9,8,7,57,54,55,55,55,54,59,60,64,60,67,72,67,69,75,69,17
Kenneth Taylor,76,69,76,74,61,66,74,68,55,77,62,73,75,75,78,77,75,76,74,69,69,75,49,70,65,70,68,64,71,74,56,75,62,58,63,9,12,10,6,7,72,73,73,73,73,73,76,76,75,76,71,71,71,70,65,70,17
Jack Butland,73,68,66,75,57,74,11,16,12,40,12,21,12,14,30,36,58,55,55,73,50,50,76,40,79,13,40,25,16,40,42,62,23,13,11,73,68,66,74,75,36,33,34,34,34,33,37,36,36,36,33,36,33,32,34,32,73
Kristoffer Olsson,68,61,74,74,67,64,67,59,55,79,51,72,70,67,72,76,67,68,85,72,70,67,69,78,54,64,69,70,69,74,50,73,68,70,65,10,6,9,11,7,68,71,70,70,70,71,74,74,74,74,73,74,73,72,69,72,18
Júlio Carolino Tavares,58,74,56,68,30,85,39,76,82,68,69,68,55,46,47,72,62,54,66,73,39,74,86,83,86,68,87,23,77,63,75,71,28,23,20,9,15,15,14,6,73,66,70,70,70,66,70,67,65,67,51,53,51,48,51,48,20
Denys Boyko,75,69,75,70,49,74,11,18,18,29,7,16,11,14,41,22,49,48,58,70,28,56,71,33,79,17,38,12,9,42,15,64,19,12,11,75,69,75,74,70,33,28,30,30,30,28,33,31,32,31,27,31,27,27,31,27,73
Niko Gießelmann,66,60,71,68,70,75,77,55,67,73,56,67,67,69,72,69,68,65,67,73,67,68,83,76,75,62,73,69,65,62,54,71,68,73,71,10,13,10,14,7,68,67,66,66,66,67,69,71,71,71,73,73,73,73,73,73,20
José Antonio Ferrández Pomares,83,68,67,74,54,49,68,74,50,75,59,76,66,55,62,73,83,83,78,65,78,70,74,65,37,56,53,56,70,59,64,62,51,58,55,7,11,6,12,12,70,72,71,71,71,72,73,73,69,73,68,63,68,66,58,66,18
Hyeon Woo Jo,73,70,62,78,51,70,11,18,16,28,18,12,19,15,23,18,52,50,31,71,53,47,56,29,33,14,19,17,12,61,19,63,29,18,16,73,70,62,70,78,30,28,30,30,30,28,33,31,32,31,29,29,29,30,28,30,73
Ayoub El Kaabi,74,73,60,71,35,66,59,74,73,67,76,70,60,50,42,73,75,73,72,69,72,73,80,68,72,72,46,38,76,67,64,61,35,22,27,15,10,13,13,7,73,71,72,72,72,71,72,70,64,70,56,52,56,53,50,53,20
Marcus Ingvartsen,64,77,66,74,38,72,63,77,68,69,74,75,78,55,56,75,67,61,68,73,71,79,67,79,74,77,61,29,74,71,73,69,35,38,30,12,13,10,14,7,74,72,73,73,73,72,74,73,69,73,58,57,58,55,52,55,20
Nicolás Domingo,41,59,68,67,71,72,60,51,60,73,55,60,54,56,72,72,38,43,76,72,77,69,71,74,69,67,75,75,55,69,68,73,73,70,71,7,16,14,10,15,62,61,62,62,62,61,67,64,71,64,69,73,69,69,72,69,21
Ezequiel Piovi,76,64,69,71,71,72,60,60,55,73,55,68,69,65,70,69,81,71,80,71,84,69,73,80,69,69,69,74,68,73,69,72,70,75,70,14,14,9,13,12,68,69,69,69,69,69,72,72,73,72,73,73,73,73,72,73,21
Gary Medel,56,50,62,68,72,76,50,37,64,72,58,63,35,45,66,67,58,55,72,79,90,65,78,69,75,59,85,75,58,65,58,78,72,74,72,14,7,9,6,6,63,61,62,62,62,61,67,65,71,65,71,73,71,71,73,71,19
Aleix Vidal Parreu,79,66,72,75,67,71,74,68,63,74,48,75,74,52,68,75,80,78,75,73,75,78,76,76,65,57,80,67,69,72,50,73,66,68,67,8,7,8,12,12,73,73,73,73,73,73,73,73,73,73,73,73,73,73,71,73,19
Fernando De Paul,74,66,63,75,40,73,11,15,12,39,13,18,19,12,25,35,37,44,33,72,65,47,67,36,65,12,15,24,14,64,21,66,18,12,14,74,66,63,73,75,32,31,33,33,33,31,38,34,38,34,31,34,31,30,30,30,73
M'Bala Nzola,85,70,59,68,29,75,52,74,70,68,60,68,62,44,62,71,80,89,65,69,60,70,71,68,86,62,58,29,74,49,70,71,20,24,28,12,14,6,13,15,75,69,70,70,70,69,69,70,63,70,54,52,54,52,49,52,21
Kang In Lee,70,71,74,76,30,52,70,70,65,78,75,76,77,81,75,75,69,71,79,68,87,76,33,39,59,69,55,29,72,70,70,69,26,23,28,11,12,12,8,14,73,73,73,73,73,73,75,73,69,73,54,53,54,51,45,51,20
Stoppila Sunzu,39,41,49,50,74,84,36,32,76,58,35,39,47,43,56,57,41,37,56,65,58,50,84,75,92,57,76,72,34,42,41,67,75,74,72,14,15,12,9,10,52,45,47,47,47,45,50,49,57,49,63,69,63,65,73,65,20
Christian Gytkjær,71,74,57,69,33,72,51,74,72,62,67,66,61,55,45,73,68,73,70,74,68,77,81,64,78,70,67,32,76,61,76,75,42,16,19,11,12,12,14,15,73,68,70,70,70,68,70,68,62,68,52,52,52,50,50,50,22
Srđan Babić,54,40,47,52,73,76,23,35,72,65,33,46,41,40,58,62,53,54,42,70,38,57,73,58,89,41,69,68,28,36,38,71,74,74,73,14,9,11,13,6,54,47,50,50,50,47,52,51,57,51,62,69,62,65,75,65,19
André Castro Pereira,67,70,71,73,69,78,66,64,55,74,62,73,71,55,72,73,68,66,74,70,71,82,71,76,77,74,83,71,70,74,63,69,69,73,71,8,16,13,6,13,71,70,71,71,71,70,73,73,73,73,73,73,73,72,73,72,19
Roberto Soldado Rillo,48,76,69,72,44,66,64,76,76,75,79,72,70,66,58,77,50,46,62,72,58,76,74,43,71,73,82,41,81,72,79,76,38,41,40,13,13,14,9,6,73,70,73,73,73,70,73,71,70,71,57,61,57,55,59,55,20
Jorge Pulido Mayoral,43,41,51,51,73,79,50,37,73,66,23,39,52,38,43,67,53,34,49,70,45,58,71,77,79,38,83,74,37,37,47,59,75,72,71,12,6,10,10,7,54,49,50,50,50,49,52,53,58,53,67,70,67,68,73,68,18
Erik Nascimento de Lima,86,71,66,75,23,57,62,72,64,71,71,75,56,63,62,72,89,83,89,69,83,72,81,74,59,70,26,17,73,65,67,62,22,16,21,14,9,13,9,11,73,73,73,73,73,73,73,73,66,73,54,48,54,50,40,50,19
Osvaldo Murilo Lodeiro Ferreira,73,49,53,54,75,69,49,43,73,53,44,44,43,45,71,63,69,77,64,73,43,57,52,41,84,51,71,69,37,47,75,70,78,76,74,11,8,10,10,9,59,54,54,54,54,54,56,57,59,57,65,69,65,69,73,69,19
Gautier Larsonneur,72,71,72,74,52,72,18,19,14,32,20,22,15,11,30,24,51,53,60,69,65,54,70,38,59,12,25,17,17,25,21,52,15,20,12,72,71,72,72,74,34,30,31,31,31,30,32,33,31,33,31,30,31,30,29,30,74
Luciano Aued,52,65,73,71,65,73,69,61,67,78,58,72,63,61,75,76,50,53,55,72,59,71,57,71,77,63,70,62,68,74,80,67,59,73,65,8,6,15,7,7,69,68,69,69,69,68,72,71,73,71,70,73,70,69,70,69,17
Emre Mor,87,65,64,83,31,57,60,64,46,67,68,86,73,62,62,78,91,84,93,64,94,67,69,63,49,68,68,28,65,62,56,69,30,28,33,13,10,7,13,6,69,73,72,72,72,73,74,74,66,74,57,53,57,53,46,53,18
Antonio Latorre Grueso,75,56,71,71,68,60,79,55,65,72,59,70,75,38,75,71,76,75,72,70,80,64,47,63,56,53,67,67,68,64,39,64,68,70,71,7,10,13,9,9,67,69,67,67,67,69,70,72,71,72,73,71,73,73,69,73,18
Nathaniel Chalobah,55,61,67,72,71,72,58,54,70,75,52,73,48,46,71,75,54,55,62,69,61,75,69,62,75,68,76,72,64,71,49,71,69,73,68,12,9,15,8,8,68,66,68,68,68,66,71,69,73,69,69,74,69,69,73,69,18
Jean-Kévin Duverne,63,38,62,70,75,74,58,31,77,73,32,70,54,28,63,71,60,65,66,69,65,55,78,75,75,36,68,73,55,54,33,69,75,75,72,13,9,8,6,12,60,61,60,60,60,61,64,65,67,65,72,73,72,73,75,73,18
Andrea Bertolacci,63,69,73,75,73,65,71,65,64,75,69,74,70,64,75,77,62,63,74,71,77,75,61,65,61,74,75,72,74,72,56,75,75,74,70,7,8,7,7,9,72,72,72,72,72,72,73,73,73,73,73,73,73,73,73,73,17
Iñigo Eguaras Álvarez,53,56,75,65,68,73,65,50,59,79,59,62,70,58,80,71,55,51,61,60,67,62,80,77,75,58,63,63,65,78,59,68,67,75,72,7,7,10,11,11,63,64,64,64,64,64,69,68,73,68,70,73,70,69,71,69,17
Francesco Bardi,75,71,65,76,49,70,18,10,11,31,17,13,14,19,31,12,51,46,48,72,33,49,75,29,54,18,21,10,11,34,21,68,18,11,10,75,71,65,70,76,29,26,26,26,26,26,29,29,28,29,27,27,27,26,25,26,73
Vincent Manceau,42,47,69,71,75,70,72,41,72,75,42,70,54,44,73,73,50,36,68,74,74,60,80,77,66,42,71,75,53,61,58,74,75,75,73,16,10,10,11,16,61,62,61,61,61,62,66,67,71,67,73,73,73,72,73,72,22
Yerson Candelo,82,67,72,76,62,67,74,62,65,72,62,75,76,74,70,76,80,84,84,66,80,72,87,80,59,78,67,63,60,68,66,65,62,61,62,8,12,8,9,14,70,72,71,71,71,72,73,73,72,73,72,69,72,71,67,71,19
Rodrigo Zalazar,75,67,70,77,62,70,64,64,56,73,53,78,65,67,72,75,79,71,85,75,85,72,64,84,58,74,83,59,68,71,64,63,62,65,62,7,7,9,5,12,71,73,72,72,72,73,75,75,75,75,71,71,71,70,67,70,17
Lewis O'Brien,69,62,66,75,69,73,56,60,53,73,52,75,42,47,66,74,74,64,79,75,85,67,68,92,63,65,77,69,68,72,42,70,67,74,73,13,13,11,7,7,68,70,70,70,70,70,73,73,75,73,74,74,74,73,71,73,19
Marco Mancosu,59,69,71,73,41,66,59,68,51,75,58,76,74,68,69,75,64,55,63,71,67,66,64,82,59,75,64,42,74,75,68,66,31,46,42,13,16,13,6,7,69,70,71,71,71,70,73,73,73,73,61,62,61,58,53,58,19
Felipe de Sousa Silva,76,72,58,67,23,84,44,74,78,64,73,65,65,42,58,70,76,76,67,61,66,78,81,80,91,61,70,17,73,65,66,67,17,18,10,8,11,10,12,7,73,66,69,69,69,66,69,68,63,68,48,49,48,46,45,46,17
Manuel Castro,77,67,71,72,52,61,69,71,54,74,52,71,68,70,71,73,80,74,75,67,78,68,62,70,60,63,54,51,71,70,58,73,50,54,54,12,12,8,14,7,70,72,71,71,71,72,74,74,71,74,66,64,66,64,59,64,19
Tobias Kempe,65,73,77,74,52,71,82,68,49,75,70,73,83,75,73,76,68,63,72,74,68,81,64,81,72,76,56,53,66,77,81,74,53,55,43,14,13,13,13,12,71,73,72,72,72,73,73,73,73,73,68,67,68,65,60,65,22
Leandro González Pirez,70,48,61,67,71,80,42,42,72,72,42,66,55,39,74,70,67,73,63,70,57,59,78,78,80,49,85,71,60,59,49,70,70,70,72,14,8,8,12,13,64,62,63,63,63,62,66,66,70,66,70,73,70,71,73,71,20
Ander Cantero Armendariz,72,74,69,73,60,75,19,12,18,35,13,22,25,12,38,21,61,58,69,61,58,52,67,45,75,14,24,22,16,33,25,43,12,12,19,72,74,69,75,73,33,31,30,30,30,31,33,34,33,34,32,32,32,32,30,32,74
Robert Glatzel,62,73,46,65,30,77,39,76,79,54,74,65,50,38,34,71,64,61,53,74,41,77,60,78,85,60,59,24,76,48,74,69,20,28,25,10,11,14,13,9,73,63,67,67,67,63,64,64,58,64,50,48,50,48,48,48,20
Javier Sánchez de Felipe,66,53,54,58,72,77,34,53,70,71,21,54,30,64,65,67,67,66,39,72,52,63,84,67,84,50,70,71,50,41,67,60,74,72,74,11,15,13,8,13,63,57,59,59,59,57,60,60,64,60,67,72,67,69,75,69,20
Tiago Rafael Maia Silva,70,71,73,73,63,59,71,68,49,74,64,72,73,73,71,73,73,68,75,74,79,76,59,71,49,74,67,66,73,76,73,70,60,68,66,11,13,12,12,13,70,72,72,72,72,72,73,73,73,73,71,71,71,70,65,70,21
Aaron Molinas,72,57,73,76,51,59,69,56,39,75,44,75,57,60,76,76,79,67,85,71,73,60,55,75,52,60,59,54,70,80,44,74,55,52,44,9,8,10,10,15,65,72,70,70,70,72,75,75,74,75,67,66,67,63,57,63,19
Marius Müller,72,69,69,74,30,73,11,10,12,27,9,14,11,13,26,22,25,38,34,70,38,52,66,35,75,12,30,14,11,51,18,30,20,13,11,72,69,69,73,74,29,24,27,27,27,24,30,28,31,28,26,30,26,25,29,25,74
Sergio Guardiola Navarro,73,73,62,74,30,77,52,75,72,72,70,75,71,55,50,75,71,75,76,61,67,74,73,72,81,70,73,28,77,65,66,65,32,19,18,11,14,11,11,11,73,71,72,72,72,71,73,71,65,71,53,53,53,50,49,50,19
Atakan Karazor,51,36,60,63,76,70,39,35,78,74,27,59,42,31,67,69,47,55,65,66,43,47,65,69,69,29,75,74,34,64,38,70,78,75,72,12,10,6,11,5,55,54,55,55,55,54,61,59,66,59,68,74,68,69,74,69,18
Vitorino Pacheco Antunes,69,69,74,74,70,68,80,56,67,73,69,75,82,80,71,77,68,70,69,70,69,87,61,73,65,81,73,71,69,66,61,70,70,70,67,10,7,10,9,14,72,71,71,71,71,71,73,73,73,73,73,73,73,73,71,73,19
Matteo Cancellieri,83,69,69,77,38,62,69,64,55,71,70,79,76,70,65,77,80,86,83,66,80,74,54,58,66,77,59,33,65,65,67,64,31,42,41,11,15,11,6,9,71,73,72,72,72,73,74,74,68,74,60,57,60,58,51,58,18
Leandro Díaz,69,74,63,68,27,74,58,79,77,67,54,67,72,44,56,71,68,70,73,68,59,77,88,72,80,63,56,22,74,69,71,63,21,23,16,10,13,12,16,13,73,69,71,71,71,69,71,70,65,70,51,50,51,49,47,49,21
Chris Willock,83,68,67,76,29,57,67,69,57,70,64,76,68,45,57,74,83,83,86,71,73,69,62,75,58,66,33,23,72,72,60,66,24,32,19,9,10,8,9,9,72,74,73,73,73,74,75,75,68,75,57,51,57,53,43,53,18
John Fleck,65,69,74,74,66,73,75,65,44,75,79,71,78,70,73,74,66,64,79,71,84,78,79,83,64,71,79,69,67,72,60,74,71,67,68,7,8,7,13,6,69,71,70,70,70,71,73,73,73,73,73,73,73,72,69,72,17
